1,1,2
2,3,3
3,6,7
4,10,11
5,15,15
6,21,22
7,28,29
8,36,36
9,45,46
10,55,55
11,66,67
12,78,78
13,91,92
14,105,106
15,120,120
16,136,137
17,153,154
18,171,171
19,190,190
20,210,210
21,231,232
22,253,253
23,276,277
24,300,300
25,325,326
26,351,351
27,378,378
28,406,407
29,435,435
30,465,466
31,496,496
32,528,529
33,561,562
34,595,595
35,630,630
36,666,667
37,703,703
38,741,742
39,780,780
40,820,820
41,861,862
42,903,903
43,946,947
44,990,990
45,1035,1035
46,1081,1081
47,1128,1129
48,1176,1177
49,1225,1225
50,1275,1276
51,1326,1326
52,1378,1379
53,1431,1431
54,1485,1485
55,1540,1540
56,1596,1597
57,1653,1653
