1,3202
2,1782
3,2236
4,2000
5,3129
6,4669
7,6039
8,9129
9,10446
10,12955
11,13797
12,17875
13,19557
14,22960
15,22491
16,25672
17,25001
18,26963
19,27637
20,32320
21,34299
22,37247
23,37839
24,39533
25,37745
26,37562
27,38460
28,37006
29,38477
30,41687
31,43052
32,44580
33,44644
34,45363
35,46577
36,47328
37,48442
38,49357
39,49732
40,50328
41,49839
42,50697
43,51592
44,51674
45,52810
46,53146
47,53552
48,53680
49,53858
50,54128
51,55004
52,55900
53,56992
54,57661
55,58102
56,56816
